0,1,2,3,4
0.853,0.944,0.886,0.871,0.869
0.944,0.886,0.871,0.869,0.942
0.946,1.09,1.033,1.013,1.025
1.09,1.033,1.013,1.025,1.053
1.033,1.013,1.025,1.053,1.056
1.013,1.025,1.053,1.056,1.071
1.025,1.053,1.056,1.071,1.053
1.053,1.056,1.071,1.053,1.093
1.056,1.071,1.053,1.093,1.131
1.071,1.053,1.093,1.131,1.161
1.053,1.093,1.131,1.161,1.096
1.093,1.131,1.161,1.096,1.102
1.131,1.161,1.096,1.102,1.146
1.161,1.096,1.102,1.146,1.17
1.096,1.102,1.146,1.17,1.223
1.102,1.146,1.17,1.223,1.183
1.146,1.17,1.223,1.183,1.275
1.17,1.223,1.183,1.275,1.25
1.223,1.183,1.275,1.25,1.334
1.183,1.275,1.25,1.334,1.305
1.275,1.25,1.334,1.305,1.345
1.25,1.334,1.305,1.345,1.346
1.334,1.305,1.345,1.346,1.387
1.305,1.345,1.346,1.387,1.372
1.345,1.346,1.387,1.372,1.395
1.346,1.387,1.372,1.395,1.436
1.387,1.372,1.395,1.436,1.376
1.372,1.395,1.436,1.376,1.297
1.395,1.436,1.376,1.297,1.366
1.436,1.376,1.297,1.366,1.315
1.376,1.297,1.366,1.315,0.78
1.297,1.366,1.315,0.78,0.669
1.366,1.315,0.78,0.669,0.956
1.315,0.78,0.669,0.956,0.818
0.78,0.669,0.956,0.818,0.611
0.669,0.956,0.818,0.611,0.634
0.956,0.818,0.611,0.634,0.617
0.818,0.611,0.634,0.617,0.6
0.611,0.634,0.617,0.6,0.636
0.634,0.617,0.6,0.636,0.619
0.617,0.6,0.636,0.619,0.597
0.6,0.636,0.619,0.597,0.731
0.636,0.619,0.597,0.731,0.691
0.619,0.597,0.731,0.691,0.713
0.597,0.731,0.691,0.713,0.704
0.731,0.691,0.713,0.704,0.716
0.691,0.713,0.704,0.716,0.713
0.713,0.704,0.716,0.713,0.73
0.704,0.716,0.713,0.73,0.698
0.716,0.713,0.73,0.698,0.706
0.713,0.73,0.698,0.706,0.706
0.73,0.698,0.706,0.706,0.711
0.698,0.706,0.706,0.711,0.695
0.706,0.706,0.711,0.695,0.69
0.706,0.711,0.695,0.69,0.679
0.711,0.695,0.69,0.679,0.64
0.695,0.69,0.679,0.64,0.661
0.69,0.679,0.64,0.661,0.758
0.679,0.64,0.661,0.758,0.72
0.64,0.661,0.758,0.72,0.711
0.661,0.758,0.72,0.711,0.729
0.758,0.72,0.711,0.729,0.753
0.72,0.711,0.729,0.753,0.838
0.711,0.729,0.753,0.838,0.752
0.729,0.753,0.838,0.752,0.774
0.753,0.838,0.752,0.774,0.809
0.838,0.752,0.774,0.809,0.8
0.752,0.774,0.809,0.8,0.858
0.774,0.809,0.8,0.858,0.834
0.809,0.8,0.858,0.834,0.868
0.8,0.858,0.834,0.868,0.82
0.858,0.834,0.868,0.82,0.842
0.834,0.868,0.82,0.842,0.872
0.868,0.82,0.842,0.872,0.894
0.82,0.842,0.872,0.894,0.894
0.842,0.872,0.894,0.894,0.929
0.872,0.894,0.894,0.929,0.959
0.894,0.894,0.929,0.959,1.011
0.894,0.929,0.959,1.011,1.039
0.929,0.959,1.011,1.039,1.053
0.959,1.011,1.039,1.053,1.045
1.011,1.039,1.053,1.045,1.027
1.039,1.053,1.045,1.027,1.113
1.053,1.045,1.027,1.113,1.111
1.045,1.027,1.113,1.111,1.166
1.027,1.113,1.111,1.166,1.193
1.113,1.111,1.166,1.193,1.273
1.111,1.166,1.193,1.273,1.243
1.166,1.193,1.273,1.243,1.237
1.193,1.273,1.243,1.237,1.242
1.273,1.243,1.237,1.242,1.247
1.243,1.237,1.242,1.247,1.304
1.237,1.242,1.247,1.304,1.278
1.242,1.247,1.304,1.278,1.339
1.247,1.304,1.278,1.339,1.437
1.304,1.278,1.339,1.437,1.473
1.278,1.339,1.437,1.473,1.474
1.339,1.437,1.473,1.474,1.483
1.437,1.473,1.474,1.483,1.5
1.473,1.474,1.483,1.5,1.483
1.474,1.483,1.5,1.483,1.513
1.483,1.5,1.483,1.513,1.443
1.5,1.483,1.513,1.443,1.506
1.483,1.513,1.443,1.506,1.498
1.513,1.443,1.506,1.498,1.437
1.443,1.506,1.498,1.437,1.484
1.506,1.498,1.437,1.484,1.362
1.498,1.437,1.484,1.362,1.876
1.437,1.484,1.362,1.876,1.417
1.484,1.362,1.876,1.417,1.018
1.362,1.876,1.417,1.018,0.978
1.876,1.417,1.018,0.978,1.438
1.417,1.018,0.978,1.438,1.061
1.018,0.978,1.438,1.061,0.745
0.978,1.438,1.061,0.745,0.89
1.438,1.061,0.745,0.89,0.864
1.061,0.745,0.89,0.864,0.715
0.745,0.89,0.864,0.715,0.913
0.89,0.864,0.715,0.913,0.609
0.864,0.715,0.913,0.609,0.61
0.715,0.913,0.609,0.61,0.668
0.913,0.609,0.61,0.668,0.728
0.609,0.61,0.668,0.728,0.643
0.61,0.668,0.728,0.643,0.803
0.668,0.728,0.643,0.803,0.897
0.728,0.643,0.803,0.897,0.699
0.643,0.803,0.897,0.699,0.846
0.803,0.897,0.699,0.846,0.793
0.897,0.699,0.846,0.793,0.792
0.699,0.846,0.793,0.792,0.795
0.846,0.793,0.792,0.795,0.875
0.793,0.792,0.795,0.875,0.831
0.792,0.795,0.875,0.831,0.861
0.795,0.875,0.831,0.861,0.888
0.875,0.831,0.861,0.888,0.96
0.831,0.861,0.888,0.96,0.762
0.861,0.888,0.96,0.762,0.994
0.888,0.96,0.762,0.994,0.946
0.96,0.762,0.994,0.946,1.361
0.762,0.994,0.946,1.361,1.052
0.994,0.946,1.361,1.052,0.997
0.946,1.361,1.052,0.997,0.975
1.361,1.052,0.997,0.975,1.009
1.052,0.997,0.975,1.009,0.908
0.997,0.975,1.009,0.908,0.951
0.975,1.009,0.908,0.951,0.865
1.009,0.908,0.951,0.865,0.955
0.908,0.951,0.865,0.955,1.005
0.951,0.865,0.955,1.005,0.985
0.865,0.955,1.005,0.985,0.985
0.955,1.005,0.985,0.985,0.918
1.005,0.985,0.985,0.918,0.971
0.985,0.985,0.918,0.971,0.982
0.985,0.918,0.971,0.982,0.982
0.918,0.971,0.982,0.982,1.018
0.971,0.982,0.982,1.018,1.026
0.982,0.982,1.018,1.026,0.974
0.982,1.018,1.026,0.974,1.073
1.018,1.026,0.974,1.073,1.069
1.026,0.974,1.073,1.069,1.077
0.974,1.073,1.069,1.077,1.099
1.073,1.069,1.077,1.099,1.173
1.069,1.077,1.099,1.173,1.2
0.959,1.102,1.025,1.005,1.022
1.102,1.025,1.005,1.022,1.05
1.025,1.005,1.022,1.05,1.046
1.005,1.022,1.05,1.046,1.07
1.022,1.05,1.046,1.07,1.066
1.05,1.046,1.07,1.066,1.096
1.046,1.07,1.066,1.096,1.131
1.07,1.066,1.096,1.131,1.152
1.066,1.096,1.131,1.152,1.099
1.096,1.131,1.152,1.099,1.096
1.131,1.152,1.099,1.096,1.152
1.152,1.099,1.096,1.152,1.178
1.099,1.096,1.152,1.178,1.221
1.096,1.152,1.178,1.221,1.233
1.152,1.178,1.221,1.233,1.247
1.178,1.221,1.233,1.247,1.339
1.221,1.233,1.247,1.339,1.308
1.233,1.247,1.339,1.308,1.348
1.247,1.339,1.308,1.348,1.353
1.339,1.308,1.348,1.353,1.389
1.308,1.348,1.353,1.389,1.385
1.348,1.353,1.389,1.385,1.391
1.353,1.389,1.385,1.391,1.444
1.389,1.385,1.391,1.444,1.389
1.385,1.391,1.444,1.389,1.3
1.391,1.444,1.389,1.3,1.367
1.444,1.389,1.3,1.367,1.347
1.389,1.3,1.367,1.347,0.795
1.3,1.367,1.347,0.795,0.666
1.367,1.347,0.795,0.666,0.962
1.347,0.795,0.666,0.962,0.825
0.795,0.666,0.962,0.825,0.61
0.666,0.962,0.825,0.61,0.635
0.962,0.825,0.61,0.635,0.62
0.825,0.61,0.635,0.62,0.602
0.61,0.635,0.62,0.602,0.637
0.635,0.62,0.602,0.637,0.627
0.62,0.602,0.637,0.627,0.684
0.602,0.637,0.627,0.684,0.689
0.637,0.627,0.684,0.689,0.71
0.627,0.684,0.689,0.71,0.708
0.684,0.689,0.71,0.708,0.714
0.689,0.71,0.708,0.714,0.716
0.71,0.708,0.714,0.716,0.732
0.708,0.714,0.716,0.732,0.703
0.714,0.716,0.732,0.703,0.709
0.716,0.732,0.703,0.709,0.709
0.732,0.703,0.709,0.709,0.714
0.703,0.709,0.709,0.714,0.696
0.709,0.709,0.714,0.696,0.696
0.709,0.714,0.696,0.696,0.68
0.714,0.696,0.696,0.68,0.652
0.696,0.696,0.68,0.652,0.664
0.696,0.68,0.652,0.664,0.785
0.68,0.652,0.664,0.785,0.723
0.652,0.664,0.785,0.723,0.711
0.664,0.785,0.723,0.711,0.723
0.785,0.723,0.711,0.723,0.757
0.723,0.711,0.723,0.757,0.747
0.711,0.723,0.757,0.747,0.875
0.723,0.757,0.747,0.875,0.782
0.757,0.747,0.875,0.782,0.811
0.747,0.875,0.782,0.811,0.804
0.875,0.782,0.811,0.804,0.837
0.782,0.811,0.804,0.837,0.856
0.811,0.804,0.837,0.856,0.832
0.804,0.837,0.856,0.832,0.859
0.837,0.856,0.832,0.859,0.825
0.856,0.832,0.859,0.825,0.869
0.832,0.859,0.825,0.869,0.877
0.859,0.825,0.869,0.877,0.895
0.825,0.869,0.877,0.895,0.926
0.869,0.877,0.895,0.926,0.955
0.877,0.895,0.926,0.955,0.868
0.895,0.926,0.955,0.868,1.037
0.926,0.955,0.868,1.037,0.852
0.955,0.868,1.037,0.852,1.059
0.868,1.037,0.852,1.059,1.08
1.037,0.852,1.059,1.08,1.126
0.852,1.059,1.08,1.126,1.151
1.059,1.08,1.126,1.151,1.164
1.08,1.126,1.151,1.164,1.197
1.126,1.151,1.164,1.197,1.231
1.151,1.164,1.197,1.231,1.228
1.164,1.197,1.231,1.228,1.238
1.197,1.231,1.228,1.238,1.249
1.231,1.228,1.238,1.249,1.255
1.228,1.238,1.249,1.255,1.307
1.238,1.249,1.255,1.307,1.247
1.249,1.255,1.307,1.247,1.269
1.255,1.307,1.247,1.269,1.421
1.307,1.247,1.269,1.421,1.42
1.247,1.269,1.421,1.42,1.492
1.269,1.421,1.42,1.492,1.488
1.421,1.42,1.492,1.488,1.608
1.42,1.492,1.488,1.608,1.488
1.492,1.488,1.608,1.488,1.51
1.488,1.608,1.488,1.51,1.491
1.608,1.488,1.51,1.491,1.487
1.488,1.51,1.491,1.487,1.513
1.51,1.491,1.487,1.513,1.461
1.491,1.487,1.513,1.461,1.434
1.487,1.513,1.461,1.434,1.362
1.513,1.461,1.434,1.362,1.469
1.461,1.434,1.362,1.469,1.424
1.434,1.362,1.469,1.424,1.027
1.362,1.469,1.424,1.027,0.88
1.469,1.424,1.027,0.88,1.442
1.424,1.027,0.88,1.442,1.061
1.027,0.88,1.442,1.061,0.776
0.88,1.442,1.061,0.776,0.886
1.442,1.061,0.776,0.886,0.861
1.061,0.776,0.886,0.861,0.711
0.776,0.886,0.861,0.711,0.904
0.886,0.861,0.711,0.904,0.781
0.861,0.711,0.904,0.781,0.634
0.711,0.904,0.781,0.634,0.67
0.904,0.781,0.634,0.67,0.724
0.781,0.634,0.67,0.724,0.76
0.634,0.67,0.724,0.76,0.876
0.67,0.724,0.76,0.876,0.715
0.724,0.76,0.876,0.715,0.846
0.76,0.876,0.715,0.846,0.783
0.876,0.715,0.846,0.783,0.791
0.715,0.846,0.783,0.791,0.804
0.846,0.783,0.791,0.804,0.876
0.783,0.791,0.804,0.876,0.826
0.791,0.804,0.876,0.826,0.853
0.804,0.876,0.826,0.853,0.874
0.876,0.826,0.853,0.874,0.978
0.826,0.853,0.874,0.978,0.637
0.853,0.874,0.978,0.637,1.0
0.874,0.978,0.637,1.0,1.007
0.978,0.637,1.0,1.007,1.116
0.637,1.0,1.007,1.116,1.055
1.0,1.007,1.116,1.055,0.997
1.007,1.116,1.055,0.997,0.996
1.116,1.055,0.997,0.996,0.918
1.055,0.997,0.996,0.918,0.945
0.997,0.996,0.918,0.945,0.892
0.996,0.918,0.945,0.892,0.905
0.918,0.945,0.892,0.905,0.955
0.945,0.892,0.905,0.955,0.909
0.892,0.905,0.955,0.909,0.983
0.905,0.955,0.909,0.983,0.978
0.955,0.909,0.983,0.978,0.969
0.909,0.983,0.978,0.969,0.924
0.983,0.978,0.969,0.924,0.972
0.978,0.969,0.924,0.972,0.987
0.969,0.924,0.972,0.987,0.998
0.924,0.972,0.987,0.998,1.027
0.972,0.987,0.998,1.027,0.979
0.987,0.998,1.027,0.979,1.075
0.998,1.027,0.979,1.075,1.022
1.027,0.979,1.075,1.022,1.178
0.979,1.075,1.022,1.178,1.175
1.075,1.022,1.178,1.175,1.209
0.707,0.745,0.738,0.771,0.75
0.745,0.738,0.771,0.75,0.769
0.738,0.771,0.75,0.769,0.63
0.771,0.75,0.769,0.63,0.734
0.75,0.769,0.63,0.734,1.05
0.769,0.63,0.734,1.05,0.759
0.63,0.734,1.05,0.759,0.8
0.734,1.05,0.759,0.8,0.729
1.05,0.759,0.8,0.729,0.855
0.759,0.8,0.729,0.855,0.868
0.8,0.729,0.855,0.868,0.907
0.729,0.855,0.868,0.907,0.85
0.855,0.868,0.907,0.85,0.822
