Date,Cl,Mn,NO3
2021-12-01 13:40:00,0.15,2.0,0.96
2021-01-21 12:25:00,0.12,3.0,0.787
2021-04-02 11:05:00,0.19,2.0,0.749
2021-08-02 14:00:00,0.08,2.0,0.892
2021-11-02 10:10:00,0.24,2.0,0.868
2021-04-03 12:20:00,0.12,2.0,1.041
2021-12-03 11:05:00,0.13,2.0,0.991
2021-07-04 12:45:00,0.11,2.0,0.801
2021-04-15 12:50:00,0.17,3.0,0.847
2021-05-17 12:15:00,0.15,2.0,0.979
2021-05-21 11:15:00,0.13,2.0,0.986
2021-01-06 12:40:00,0.21,2.0,1.037
2021-06-15 12:10:00,0.1,1.0,1.046
2021-06-20 11:30:00,0.14,3.0,1.148
2021-06-21 12:00:00,0.14,2.0,1.177
2019-11-07 09:50:00,0.08,2.0,0.983
2019-12-07 10:00:00,0.06,3.0,1.029
2019-07-23 10:40:00,0.05,2.0,1.011
2019-08-08 09:20:00,0.05,1.0,1.1
2019-08-21 10:30:00,0.05,2.0,1.086
2019-02-09 11:30:00,0.05,2.0,1.176
2019-09-19 10:50:00,0.05,2.0,1.205
2019-01-10 10:50:00,0.05,2.0,1.319
2019-10-10 10:30:00,0.05,1.0,1.183
2019-10-16 11:20:00,0.05,2.0,1.374
2019-10-23 11:30:00,0.05,2.0,1.376
2019-05-11 11:20:00,0.05,2.0,1.111
2019-07-11 10:30:00,0.05,1.0,1.335
2019-12-11 12:40:00,0.05,2.0,1.38
2019-11-14 10:55:00,0.07,2.0,1.213
2019-11-21 12:00:00,0.05,2.0,0.778
2019-04-12 11:25:00,0.07,2.0,0.706
2019-10-12 11:40:00,0.05,2.0,0.584
2019-12-12 09:55:00,0.06,2.0,0.606
2019-12-17 12:50:00,0.05,2.0,0.616
2020-09-01 10:50:00,0.05,2.0,0.683
2020-04-02 10:30:00,0.05,2.0,0.703
2020-06-02 12:10:00,0.05,3.0,0.69
2020-02-13 11:50:00,0.05,2.0,0.687
2020-02-19 11:20:00,0.05,2.0,0.702
2020-05-03 10:30:00,0.05,2.0,0.668
2020-12-03 09:50:00,0.08,8.0,0.77
2020-03-17 12:20:00,0.05,2.0,0.705
2020-03-19 11:50:00,0.05,2.0,0.72
2020-02-04 10:00:00,0.06,3.0,0.85
2020-06-04 09:50:00,0.05,1.0,0.845
2020-04-14 10:30:00,0.05,1.0,0.754
2020-07-05 11:20:00,0.05,2.0,0.853
2020-05-21 11:20:00,0.05,2.0,0.871
2020-04-06 10:10:00,0.05,2.0,0.936
2020-11-06 10:55:00,0.05,1.0,1.027
2020-06-18 13:40:00,0.05,2.0,1.065
2020-01-07 11:50:00,0.05,2.0,1.114
2020-07-15 11:10:00,0.08,2.0,1.033
2020-07-17 10:55:00,0.07,3.0,1.153
2020-07-20 12:40:00,0.08,2.0,1.162
2020-07-23 12:10:00,0.05,2.0,1.214
2020-04-08 11:50:00,0.06,2.0,1.219
2020-08-19 13:50:00,0.05,2.0,1.282
2020-10-09 11:10:00,0.05,2.0,1.345
2020-09-22 13:15:00,0.07,2.0,1.411
2020-06-10 12:00:00,0.14,1.0,1.412
2020-10-27 11:40:00,0.05,2.0,1.488
2020-10-30 13:30:00,0.05,2.0,1.458
2020-10-11 13:30:00,0.05,1.0,1.315
2020-12-11 10:30:00,0.05,1.0,0.915
2020-11-17 11:00:00,0.05,1.0,1.487
2020-11-19 10:00:00,0.05,1.0,1.379
2020-11-26 09:50:00,0.05,1.0,0.982
2020-03-12 12:15:00,0.05,4.0,0.828
2020-10-12 11:35:00,0.05,3.0,0.67
2020-12-14 10:10:00,0.05,2.0,0.606
2020-12-18 10:37:00,0.07,2.0,0.643
2020-12-21 13:00:00,0.05,1.0,0.714
2021-12-01 13:15:00,0.05,2.0,0.975
2021-01-21 11:55:00,0.07,2.0,0.802
2021-04-02 10:40:00,0.05,2.0,0.9
2021-08-02 13:30:00,0.07,3.0,0.748
2021-11-02 13:55:00,0.31,1.0,0.764
2021-02-18 10:30:00,0.05,1.0,0.853
2021-04-03 11:50:00,0.11,2.0,1.047
2021-12-03 09:55:00,0.05,1.0,0.996
2021-03-17 09:20:00,0.05,2.0,0.745
2021-07-04 10:50:00,0.05,2.0,0.877
2021-04-15 11:15:00,0.05,2.0,0.706
2021-04-22 11:30:00,0.05,3.0,0.959
2021-05-17 11:50:00,0.05,1.0,0.985
2021-05-21 10:50:00,0.05,2.0,0.987
2021-01-06 11:40:00,0.19,2.0,0.82
2021-08-06 12:45:00,0.05,2.0,0.887
2021-06-15 11:45:00,0.05,2.0,1.111
2021-06-21 11:35:00,0.05,2.0,1.155
2019-04-07 11:15:00,0.31,3.0,0.972
2019-04-09 11:55:00,0.23,2.0,1.198
2019-09-10 11:20:00,0.13,3.0,1.411
2019-05-11 11:50:00,0.2,4.0,1.061
2020-01-16 12:55:00,0.21,2.0,0.701
2020-04-02 11:10:00,0.31,1.0,0.676
2020-10-03 11:05:00,0.26,3.0,0.667
2020-07-05 11:50:00,0.2,4.0,0.842
2020-10-06 12:50:00,0.32,1.0,0.989
2020-11-16 12:20:00,0.31,1.0,1.198
2021-01-13 12:55:00,0.18,1.0,0.725
2021-01-17 11:35:00,0.17,1.0,0.738
2021-04-03 10:55:00,0.35,1.0,1.085
2019-07-25 12:20:00,0.18,5.0,0.319
2019-07-08 10:00:00,0.37,2.0,0.374
2019-02-09 12:10:00,0.13,2.0,0.36
2019-09-09 09:10:00,0.37,2.0,0.317
2019-09-18 13:10:00,0.26,2.0,0.324
2019-02-10 09:10:00,0.3,3.0,0.264
2019-04-11 11:00:00,0.31,3.0,0.25
2019-11-13 09:50:00,0.23,3.0,0.403
2019-11-20 09:30:00,0.23,2.0,0.565
2019-05-12 09:35:00,0.35,1.0,0.666
2020-01-21 09:30:00,0.35,2.0,0.623
2020-01-27 09:20:00,0.36,1.0,0.642
2020-07-02 11:50:00,0.35,3.0,0.648
2020-05-03 09:40:00,0.37,1.0,0.523
2020-11-03 09:50:00,0.34,2.0,0.403
2020-01-04 09:50:00,0.38,1.0,0.626
2020-03-04 11:25:00,0.37,1.0,0.655
2020-06-04 09:50:00,0.37,1.0,0.656
2020-08-05 09:30:00,0.36,1.0,0.65
2020-08-06 14:15:00,0.2,1.0,0.4
2020-08-07 14:15:00,0.11,2.0,0.337
2020-08-14 12:20:00,0.26,1.0,0.437
2020-08-09 12:40:00,0.12,1.0,0.524
2020-11-09 10:10:00,0.28,2.0,0.579
2020-02-10 14:30:00,0.19,2.0,0.481
2020-10-28 13:10:00,0.35,1.0,0.527
2020-11-20 12:20:00,0.18,2.0,0.394
